Dr. Amarpreet Singh Riar,https://www.practo.com/delhi/doctor/amarpreet-singh-riar-general-physician?specialization=General%20Physician&practice_id=1026302,https://goo.gl/maps/nbpLHeuKoygYDhNq7,Eat Yoghurt and Probiotics
Dr. (Maj.)Sharad Shrivastava,https://www.practo.com/delhi/doctor/dr-54-general-physician-1?specialization=General%20Physician&practice_id=1071396,https://goo.gl/maps/unXNVUFpn2jy7phr5,Eat Saline nasal irrigation
Dr. Anirban Biswas,https://www.practo.com/delhi/doctor/anirban-biswas-diabetologist?specialization=General%20Physician&practice_id=789800,https://goo.gl/maps/Bf3vmGNdGq8EcBky5,Drink Ginger tea
Dr. Aman Vij,https://www.practo.com/delhi/doctor/dr-aman-vij-general-physician?specialization=General%20Physician&practice_id=704972,https://goo.gl/maps/eess29YpcLezm1kJA,Eat Guar gum
Dr. Mansi Arya,https://www.practo.com/delhi/doctor/dr-mansi-arya-bhardwaj-homeopath?specialization=Homoeopath&practice_id=786334,https://goo.gl/maps/dZJ4jGTeCPqHSVdN7,Use Aloe vera
Dr. Sunil Kumar Dwivedi,https://www.practo.com/delhi/doctor/dr-sunil-kumar-dwivedi-homeopath?specialization=Homoeopath&practice_id=654411,https://goo.gl/maps/7hi1rP6vFis2n4oi8,Drink Honey
Dr. Chhavi Bansal,https://www.practo.com/delhi/doctor/dr-chhavi-bansal-homeopath-1?specialization=Homoeopath&practice_id=1124019,https://goo.gl/maps/EV1N4NRFAiPhhgeM8,Eat Cardomom
Dr. Sneh Khera,https://www.practo.com/delhi/doctor/dr-sneh-khera-homeopath?specialization=Homoeopath&practice_id=709153,https://goo.gl/maps/gP7GbuhvWpCpUqYb8,Drink Apple cider
Dr. Inderjeet Singh Parmar,https://www.practo.com/noida/doctor/inderjit-singh-parmar-dermatologist?practice_id=1263288&specialization=Dr.%20Inderjeet%20Singh&referrer=doctor_listing,https://goo.gl/maps/WBiWyML7fnHUYPLH8,Drink Apple cider vineger
Dr. Suman Mohan,https://www.practo.com/delhi/doctor/dr-suman-mohan-homoeopath?specialization=Homoeopath&practice_id=1173704,https://goo.gl/maps/qrn6AU9dK5iKqpFq8,Practice Breating exercises
Dr. Manish Munjal,https://www.practo.com/delhi/doctor/dr-manish-munjal-ear-nose-throat-ent-specialist-1?specialization=Ear-Nose-Throat%20(ENT)%20Specialist&practice_id=1045243,https://goo.gl/maps/K5pvHkKSPMWwrMB87,Drink Skim milk
Dr. Ajay Jain,https://www.practo.com/delhi/doctor/dr-ajay-jain-ear-nose-throat-ent-specialist-1?specialization=Ear-Nose-Throat%20(ENT)%20Specialist&practice_id=664069,https://goo.gl/maps/ZzpLEQ4YcoYV9Cs67,Drink Green tea
Dr. Anshul Gupta,https://www.practo.com/delhi/doctor/dr-anshul-gupta-ear-nose-throat-ent-specialist-1?specialization=Ear-Nose-Throat%20(ENT)%20Specialist&practice_id=712546,https://goo.gl/maps/dsNHamfBX1tFsU8t7,Eat Garlic
Dr. B B Khatri,https://www.practo.com/delhi/doctor/dr-b-b-khatri-ear-nose-throat-ent-specialist?specialization=Ear-Nose-Throat%20(ENT)%20Specialist&practice_id=702104,https://goo.gl/maps/EFv441K3hLyd1Jkf7,Eat Blueberries
Dr. Rajeev Adhana,https://www.practo.com/delhi/clinic/adhana-ent-clinic-dilshad-garden?subscription_id=1296734&reach_subscription_id=45459&specialization=Ear-Nose-Throat%20(ENT)%20Specialist&ad_id=403277995611153&show_all=true,https://goo.gl/maps/p9W7GXpwgChuinm17,Drink sugarcane juice
Dr. Vidit Tripathi,https://www.practo.com/delhi/doctor/dr-vidit-tripathi-ear-nose-throat-ent-specialist-3?specialization=Ear-Nose-Throat%20(ENT)%20Specialist&practice_id=736234,https://goo.gl/maps/mN2ACsqydzYtayX27,Eat tulsi leaves
Dr. Arun Wadhawan,https://www.practo.com/delhi/doctor/dr-arun-wadhawan-ear-nose-throat-ent-specialist-1?specialization=Ear-Nose-Throat%20(ENT)%20Specialist&practice_id=710928,https://goo.gl/maps/sw7rr4tpKne7ntYB9,Apply calamine lotion
Dr. Neha Sood,https://www.practo.com/delhi/doctor/dr-neha-sood-ear-nose-throat-ent-specialist-1?specialization=Ear-Nose-Throat%20(ENT)%20Specialist&practice_id=680128,https://goo.gl/maps/8nuEKCpvrGx5qrhW8,Drink papaya leaf juice
Dr. Vineet Narula,https://www.practo.com/delhi/doctor/vineet-narula-ear-nose-throat-ent-specialist-1?specialization=Ear-Nose-Throat%20(ENT)%20Specialist&practice_id=1107540,https://goo.gl/maps/gtkZLZwR7QtFV2o6A,Drink lots of fluids
Dr. Yogesh Jain,https://www.practo.com/delhi/doctor/dr-yogesh-jain-2-ear-nose-throat-ent-specialist?specialization=Ear-Nose-Throat%20(ENT)%20Specialist&practice_id=1118463,https://goo.gl/maps/agCuqe1Am7a8bC1J8,Try peppermint oil
Dr. Rakesh Singh,https://www.practo.com/delhi/doctor/dr-rakesh-singh-ear-nose-throat-ent-specialist?specialization=Ear-Nose-Throat%20(ENT)%20Specialist&practice_id=670997,https://goo.gl/maps/XZyeNxb8A1yRZeM68,Use extract of milk thistle plant
Dr. Sudha Asokan,https://www.practo.com/delhi/doctor/dr-sudha-asokan-ayurveda-1?specialization=Ayurveda&practice_id=654473,https://goo.gl/maps/YtY9v6DP1Vmk6Lt58,Use extract of milk thistle plant
Dr. Mahesh Shah,https://www.practo.com/delhi/doctor/dr-shah-4-sexologist?specialization=Ayurveda&practice_id=688515,https://goo.gl/maps/DWYTBk2yS5nBYhmH8,Use extract of dandelion root plant
Dr. S K Singh,https://www.practo.com/delhi/doctor/dr-s-k-singh-ayurveda?specialization=Ayurveda&practice_id=725617,https://goo.gl/maps/gvATf69dzHZRbGhD9,Drink lots of water
Dr. Sree Raj,https://www.practo.com/delhi/doctor/sree-raj-s-ayurveda?practice_id=730992&specialization=Ayurveda%20doctor&referrer=doctor_listing,https://goo.gl/maps/SEQY7AgJMoR9aj8QA,"Eating dark berries like blueberrires, raspberries, cranberries"
Dr. Jyoti Arora Monga,https://www.practo.com/delhi/doctor/dr-jyoti-arora-ayurveda?specialization=Ayurveda&practice_id=693424,https://goo.gl/maps/V8AjorPJz4QmuAoG9,Use Black pepper
Dr. Vijay Abbot,https://www.practo.com/delhi/doctor/dr-vijay-abbot-sexologist?specialization=Ayurveda&practice_id=688515,https://goo.gl/maps/VjdMaArSY3wpvpCN6,"Use ginger, garlic, honey"
Dr. Rakesh Gupta,https://www.practo.com/delhi/doctor/dr-rakesh-gupta-ayurveda?specialization=Ayurveda&practice_id=825935,https://goo.gl/maps/N3MLC67AhzHye3tZA,Drink peppermint tea
Dr. Sugeeta Mutreja,https://www.practo.com/delhi/doctor/sugeeta-mutreja-dietitian-nutritionist?specialization=Ayurveda&practice_id=1010860,https://goo.gl/maps/46D9BvupiP6JzxqG7,Use Tea tree oil
Dr. Ruchi Gupta,https://www.practo.com/delhi/doctor/dr-ruchi-gupta-1-ayurveda?specialization=Ayurveda&practice_id=825935,https://goo.gl/maps/2unxj3b5cVn9XGoD8,"Eat pomegranate, capsaicin, curcumin"
Dr. Praveen Rustagi,https://www.practo.com/delhi/doctor/dr-praveen-rustagi-ayurveda?specialization=Ayurveda&practice_id=1121150,https://goo.gl/maps/imAJk2cmj7UZd29s7,"Eat almonds and pistachio nuts, lentil and white beans"
Dr. S.K Kashyap,https://www.practo.com/delhi/doctor/s-k-kashyap-dermatologist-cosmetologist?specialization=Dermatologist&practice_id=767677,https://goo.gl/maps/5Sy1m6ZkDruTTeQn6,"Eat peas,beans,asparagus,sesame seeds"
Dr. Nipun Jain,https://www.practo.com/delhi/doctor/dr-nipun-jain-dermatologist-cosmetologist-2?specialization=Dermatologist&practice_id=850375,https://goo.gl/maps/dguY8PBM4w4S93dX7,"use lemon balm, buggleweed, amla"
Dr. Rohit Batra,https://www.practo.com/delhi/doctor/dr-rohit-batra-dermatologist-cosmetologist-1?specialization=Dermatologist&practice_id=673325,https://goo.gl/maps/EZB9xjkZNuCwLdbW7,"use 1 tablespoon of sugar, honey, syrup,jellybeans or gumdrops"
Dr. Lipy Gupta,https://www.practo.com/delhi/doctor/dr-lipy-gupta-dermatologist-cosmetologist?specialization=Dermatologist&practice_id=689248,https://goo.gl/maps/FKjGBBQgetCeTRsm9,"Eat turmeric, curcumin, ginger"
Dr. Gaurav Garg,https://www.practo.com/delhi/doctor/dr-gaurav-garg-dermatologist-cosmetologist?specialization=Dermatologist&practice_id=690976,https://goo.gl/maps/NJY8XCfv47F6p7Es6,"Eat aloe vera, boswella, eucalytus"
Dr. Parmil Kumar Sharma,https://www.practo.com/delhi/doctor/dr-p-k-sharma-dermatologist-cosmetologist-1?specialization=Dermatologist&practice_id=896686,https://goo.gl/maps/b5wJdUp8ZaQZsCSr8,"Intake of ginger tea, almonds, apple cider vineger,honey"
Dr. Shruti Gupta,https://www.practo.com/delhi/doctor/shruti-gupta-dermatologist?specialization=Dermatologist&practice_id=1009300,https://goo.gl/maps/hfxYQnmGYbd7wLvL7,"use a honey and cinnamon mask,spot treat with tea tree oil, moisturize with aloe vera, try brewer's yeast"
Dr. Manisha Chopra,https://www.practo.com/delhi/doctor/dr-manisha-chopra-dermatologist-cosmetologist?specialization=Dermatologist&practice_id=700888,https://goo.gl/maps/BoHfc6ikQtxDFAfHA,Drink unsweetened cranberry juice and take probiotics
Dr. Ranjan Upadhyay,https://www.practo.com/delhi/doctor/dr-ranjan-upadhyay-dermatologist-cosmetologist-1-6350?specialization=Dermatologist&practice_id=649436,https://goo.gl/maps/fg56gHm4hvJWT7L88,"intake of apple cider vineger, capsaicin, turmeric, tea tree oil"
Dr. Gayatri Bala Juneja,https://www.practo.com/delhi/doctor/dr-gayatri-bala-juneja-gynecologist-obstetrician-2?specialization=Gynecologist/Obstetrician&practice_id=1010694,https://goo.gl/maps/E6XVzXUJPbqwXjFE6,"Apply aloe vera, garlic, ginger, eucalytus and intake of grapefruit seed "
